O1,O2,O3,O4,O5,O6,O7,H_exact,G_exact,K_exact,H_L_exact,H_R_exact,H_ctrap,G_ctrap,K_ctrap,H_mid,G_mid,K_mid,model,param,layer,type,n
-0.10668857488781214,-0.061639477498829365,-0.028575477888807654,2.41167945205234e-05,0.02856542100198567,0.06154240947216749,0.10666481778025627,0.07507042218144322,0.0012238087003310738,0.610346685570574,0.04569932822900254,0.04593863849665259,0.07063988759182394,-0.00017737904424694687,0.5797988699304141,0.06159094348549843,-0.0011795696532651014,0.6340724988814925,GPT2-Small,transformer.h.5.mlp.c_proj.weight,5,ffn_output,2359296
-0.14208579808473587,-0.08173444122076035,-0.03799191350117326,0.00020620137365767732,0.038317170925438404,0.08201313577592373,0.14205024763941765,0.09937226987149778,-0.0009516849266074788,0.6072530605868801,0.060419912517139455,0.06026831751672542,0.09423002955736592,-0.001774751595950804,0.5803278592079445,0.08187378849834204,-0.0008165506605003308,0.6345955314555598,GPT2-Small,transformer.h.6.attn.c_attn.weight,6,attn_input,1769472
-0.12472239416092634,-0.07144507020711899,-0.03312567761167884,6.266624768613838e-05,0.03305883100256324,0.07146884687244892,0.12484151124954224,0.08774351361156094,-0.00029280762063735235,0.6137368691401526,0.05383895430377142,0.05386390435886011,0.08267717598937452,-0.0005927752565267837,0.5837984742859523,0.07145695853978395,-0.0007106084006206475,0.6415729151630812,GPT2-Small,transformer.h.6.attn.c_proj.weight,6,attn_output,589824
-0.14542505331337452,-0.08518917858600616,-0.041222036350518465,-0.002418285352177918,0.03624790860339999,0.0795837938785553,0.13930698111653328,0.0995118994009887,-0.004028348555181786,0.6028140424509839,0.06025738497312716,0.059716955726644115,0.09463249915279448,-0.0035922484663052385,0.5776915102704475,0.08238648623228073,-0.004665898730815112,0.6289323011410934,GPT2-Small,transformer.h.6.mlp.c_fc.weight,6,ffn_input,2359296
-0.1178510719910264,-0.06812410429120064,-0.031645757146179676,-7.455645391019061e-05,0.03158121183514595,0.06802273727953434,0.11794783640652895,0.08288689996306954,0.002051423768352318,0.6096560462240369,0.0503967042699835,0.050668295160520994,0.07809799362439662,0.0014338444024712123,0.5796934605062732,0.06807342078536749,0.0003506941152893141,0.6337713656272008,GPT2-Small,transformer.h.6.mlp.c_proj.weight,6,ffn_output,2359296
-0.14510878175497055,-0.08375795371830463,-0.03925508726388216,-0.00013382847100729123,0.03890779009088874,0.08361484855413437,0.14497407339513302,0.10130099311916797,0.0004225280897880968,0.6057270371655914,0.06132313257395485,0.0613983682740563,0.09624894912121817,-0.00011581750100679942,0.5796076737233941,0.0836864011362195,0.0007441578091139302,0.633077701149983,GPT2-Small,transformer.h.7.attn.c_attn.weight,7,attn_input,1769472
-0.12439421191811562,-0.07113585621118546,-0.03302321629598737,0.00015231037104967982,0.03306167991831899,0.0713636577129364,0.12453414220362902,0.08768063155626568,-0.0014645735622185803,0.6137284017396895,0.05385246618364878,0.05377172155345825,0.08250509039498866,-0.0017255060307670522,0.5838600608796225,0.07124975696206093,-0.000539084227257914,0.6415581810503534,GPT2-Small,transformer.h.7.attn.c_proj.weight,7,attn_output,589824
-0.14713831432163715,-0.08696944266557693,-0.04265647009015083,-0.003323503420688212,0.036056829150766134,0.0800023227930069,0.139882143586874,0.10006084930414692,-0.0019936354179297946,0.5988293428019443,0.060112218596753704,0.059726526661259674,0.09540721756638959,-0.001369351211650309,0.5749818878814337,0.08348588272929192,-0.0019171686321602427,0.6237795896075116,GPT2-Small,transformer.h.7.mlp.c_fc.weight,7,ffn_input,2359296
-0.13159812428057194,-0.07604476995766163,-0.035362142603844404,9.616300303605385e-06,0.03539672773331404,0.07605919986963272,0.13155442290008068,0.09225291257564867,0.0008332867332360585,0.6077205525868437,0.05600375635569532,0.05612422566074266,0.08719078911235556,-0.00019087305664869768,0.5790528542481058,0.07605198491364717,-3.157503805832112e-05,0.6324413395059529,GPT2-Small,transformer.h.7.mlp.c_proj.weight,7,ffn_output,2359296
-0.14405053853988647,-0.08375290222465992,-0.039222561288625,-0.0002637056168168783,0.038840244989842176,0.08325858041644096,0.14377069845795631,0.10021758934795745,0.0009323007569651915,0.6016956097699272,0.06023704328129921,0.060363923783483625,0.09545364556834102,0.0014559677137186474,0.5768402908107345,0.08350574132055044,0.0001981266490874051,0.627976075064658,GPT2-Small,transformer.h.8.attn.c_attn.weight,8,attn_input,1769472
-0.13487542420625687,-0.0779666155576706,-0.03612118540331721,0.00010230192492599599,0.03629748243838549,0.07794603332877159,0.1347537524998188,0.09467817817107442,-0.0009947201154448123,0.6084942850076868,0.05765873167284363,0.05756352899123297,0.08928977948380634,-0.0008586858418529567,0.5789691912269872,0.07795632444322109,-0.001444309235711893,0.6324390941751293,GPT2-Small,transformer.h.8.attn.c_proj.weight,8,attn_output,589824
-0.14696084335446358,-0.08627291023731232,-0.041727480944246054,-0.002035098965279758,0.03776638535782695,0.08225373364984989,0.14262859150767326,0.10084876333324579,-0.000311707786949274,0.5981301380863814,0.06039450835645393,0.06024686112025626,0.09627457696478814,-0.0007282522293898113,0.5747652355160507,0.0842633219435811,0.0003027494164735892,0.6233304233505483,GPT2-Small,transformer.h.8.mlp.c_fc.weight,8,ffn_input,2359296
