model,param,layer,type,shape,n,O1,O2,O3,O4,O5,O6,O7,H_ct,G_ct,K_ct,H_mp,G_mp,K_mp
OPT-125M,model.decoder.layers.9.self_attn.k_proj.weight,9,attn_input,"(768, 768)",589824,-0.06451416015625,-0.037353515625,-0.017425537109375,0.00017219781875610352,0.0177001953125,0.037506103515625,0.06451416015625,0.042842864990234375,-0.0025056206036862256,0.5766182886653014,0.0374298095703125,-0.002562232470444354,0.6271911944557684
OPT-125M,model.decoder.layers.9.self_attn.v_proj.weight,9,attn_input,"(768, 768)",589824,-0.026763916015625,-0.01523590087890625,-0.006946563720703125,5.1915645599365234e-05,0.007114410400390625,0.015411376953125,0.0269775390625,0.01776409149169922,0.0026607881032909217,0.5864605143071885,0.015323638916015625,0.002337720936021907,0.6473736619367687
OPT-125M,model.decoder.layers.9.self_attn.q_proj.weight,9,attn_input,"(768, 768)",589824,-0.06768798828125,-0.039337158203125,-0.01849365234375,-0.0002880096435546875,0.01800537109375,0.038848876953125,0.06732177734375,0.044769287109375,0.0020023858214042265,0.5778800272665303,0.039093017578125,0.0011221701795472287,0.629976580796253
OPT-125M,model.decoder.layers.9.self_attn.out_proj.weight,9,attn_output,"(768, 768)",589824,-0.02545166015625,-0.01450347900390625,-0.006683349609375,1.6182661056518555e-05,0.006641387939453125,0.01446533203125,0.0254058837890625,0.016826152801513672,-0.0023503698245812906,0.5868166746960637,0.014484405517578125,-0.0024340762444034765,0.6478140637345272
OPT-125M,model.decoder.layers.9.fc1.weight,9,ffn_input,"(3072, 768)",2359296,-0.026275634765625,-0.01346588134765625,-0.00403594970703125,0.00445556640625,0.01297760009765625,0.02264404296875,0.03594970703125,0.020687103271484375,0.011156186612576065,0.5762032085561497,0.018054962158203125,0.007394886963870695,0.6260300021128249
OPT-125M,model.decoder.layers.9.fc2.weight,9,ffn_output,"(768, 3072)",2359296,-0.033233642578125,-0.0187835693359375,-0.00859832763671875,2.5093555450439453e-05,0.008544921875,0.0187225341796875,0.03314208984375,0.021943092346191406,-0.002925485679516711,0.5910295971141727,0.0187530517578125,-0.0029654444670463792,0.656326281529699
OPT-125M,model.decoder.layers.10.self_attn.k_proj.weight,10,attn_input,"(768, 768)",589824,-0.06262969970703125,-0.03619384765625,-0.016998291015625,0.00011083483695983887,0.017181396484375,0.03643798828125,0.0626220703125,0.04162883758544922,-0.002547908409887517,0.576642001328721,0.03631591796875,0.0003093815651260504,0.6269432773109244
OPT-125M,model.decoder.layers.10.self_attn.v_proj.weight,10,attn_input,"(768, 768)",589824,-0.0296630859375,-0.0170745849609375,-0.007876396179199219,-4.869699478149414e-05,0.00778961181640625,0.0169830322265625,0.029693603515625,0.019619107246398926,0.002573263578750372,0.5833804237530154,0.01702880859375,0.00017151097670250895,0.6414230510752689
OPT-125M,model.decoder.layers.10.self_attn.q_proj.weight,10,attn_input,"(768, 768)",589824,-0.0628662109375,-0.036468505859375,-0.0172882080078125,-0.0003230571746826172,0.0167388916015625,0.03607177734375,0.06268310546875,0.041706085205078125,0.0035385987377663953,0.5786152016829781,0.0362701416015625,0.0034378944047118217,0.6308371897349601
OPT-125M,model.decoder.layers.10.self_attn.out_proj.weight,10,attn_output,"(768, 768)",589824,-0.029266357421875,-0.01666259765625,-0.00766754150390625,-1.1861324310302734e-05,0.007659912109375,0.0167083740234375,0.0292816162109375,0.01936054229736328,0.0001693266341559529,0.5866213487020344,0.01668548583984375,0.0020826188843164153,0.6475765889346137
